task,n_labeled,n_active,roc_auc,pr_auc,balanced_accuracy
NR-AR,736,29,0.8787494512998099,0.6479160821053124,0.7853240989123542
NR-AR-LBD,671,23,0.8960681696188942,0.533910948078203,0.7539251207729469
NR-AhR,652,75,0.8732986712882728,0.6537148319376652,0.7644020797227037
NR-Aromatase,581,21,0.8238945578231293,0.2917006510166939,0.6163690476190476
NR-ER,619,74,0.6669848747830399,0.35256687960624356,0.6254649144557402
NR-ER-LBD,704,35,0.7891949604954089,0.43228265994907766,0.6632073457185566
NR-PPAR-gamma,648,20,0.638375796178344,0.10070255546232298,0.5210191082802548
SR-ARE,578,84,0.7300944669365722,0.3665800468124436,0.6261808367071525
SR-ATAD5,710,29,0.8182692794571876,0.2790461977322768,0.5983087751278546
SR-HSE,648,47,0.7931284738202287,0.44305645341889777,0.6243317874464545
SR-MMP,603,95,0.8922503108164112,0.6842670517439885,0.7362411935350186
SR-p53,681,48,0.8659820958399158,0.48368294339688284,0.6483511058451816
