task,n_labeled,n_active,roc_auc,pr_auc,balanced_accuracy
NR-AR,5820,250,0.9999716337522442,0.9992347291645404,0.9981149012567325
NR-AR-LBD,5500,193,0.9999980473536272,0.9999200116196546,0.9998115696250236
NR-AhR,5294,589,0.9999963915135616,0.9999599734458545,0.9991498405951116
NR-Aromatase,4783,208,0.9999022698612863,0.9975192709376588,0.9974863387978142
NR-ER,5078,646,0.9996261009153804,0.9973353298759688,0.9915702434308323
NR-ER-LBD,5631,299,0.9999209668637894,0.9984323177998102,0.9971867966991748
NR-PPAR-gamma,5292,132,0.9999904568945266,0.9994960757738429,0.999515503875969
SR-ARE,4871,718,0.9999344367631682,0.9995721761422606,0.9965605291204733
SR-ATAD5,5729,196,0.9999912399443782,0.999668403088877,0.9993674317729984
SR-HSE,5314,281,0.9999172719835562,0.9983880312865083,0.9973177031591496
SR-MMP,4776,711,0.9999892741543449,0.9999269711331804,0.9990159901599016
SR-p53,5489,276,0.9999972198822898,0.9999097833907591,0.9994245156339919
