task,n_both,n_agree,n_conflict,n_csv_only,n_sdf_only,aggregation
NR-AR,7265,7254,11,0,0,first
NR-AR-LBD,6756,6753,3,2,0,first
NR-AhR,6546,6522,24,3,0,first
NR-Aromatase,5813,5800,13,8,0,first
NR-ER,6190,6131,59,3,0,first
NR-ER-LBD,6952,6928,24,3,0,first
NR-PPAR-gamma,6449,6440,9,1,0,first
SR-ARE,5819,5790,29,13,0,first
SR-ATAD5,7069,7060,9,3,0,first
SR-HSE,6459,6436,23,8,0,first
SR-MMP,5803,5787,16,7,0,first
SR-p53,6768,6760,8,6,0,first
NR-AR,7265,7265,0,0,0,any_active
NR-AR-LBD,6756,6756,0,2,0,any_active
NR-AhR,6546,6546,0,3,0,any_active
NR-Aromatase,5813,5813,0,8,0,any_active
NR-ER,6190,6186,4,3,0,any_active
NR-ER-LBD,6952,6951,1,3,0,any_active
NR-PPAR-gamma,6449,6449,0,1,0,any_active
SR-ARE,5819,5817,2,13,0,any_active
SR-ATAD5,7069,7069,0,3,0,any_active
SR-HSE,6459,6458,1,8,0,any_active
SR-MMP,5803,5802,1,7,0,any_active
SR-p53,6768,6766,2,6,0,any_active
NR-AR,7265,7249,16,0,0,majority
NR-AR-LBD,6756,6749,7,2,0,majority
NR-AhR,6546,6543,3,3,0,majority
NR-Aromatase,5813,5809,4,8,0,majority
NR-ER,6190,6152,38,3,0,majority
NR-ER-LBD,6952,6936,16,3,0,majority
NR-PPAR-gamma,6449,6448,1,1,0,majority
SR-ARE,5819,5813,6,13,0,majority
SR-ATAD5,7069,7068,1,3,0,majority
SR-HSE,6459,6454,5,8,0,majority
SR-MMP,5803,5800,3,7,0,majority
SR-p53,6768,6766,2,6,0,majority
