split,task,n_labeled,n_active,active_rate
train,NR-AR,5820,250,0.043
train,NR-AR-LBD,5500,193,0.0351
train,NR-AhR,5294,589,0.1113
train,NR-Aromatase,4783,208,0.0435
train,NR-ER,5078,646,0.1272
train,NR-ER-LBD,5631,299,0.0531
train,NR-PPAR-gamma,5292,132,0.0249
train,SR-ARE,4871,718,0.1474
train,SR-ATAD5,5729,196,0.0342
train,SR-HSE,5314,281,0.0529
train,SR-MMP,4776,711,0.1489
train,SR-p53,5489,276,0.0503
valid,NR-AR,723,31,0.0429
valid,NR-AR-LBD,627,25,0.0399
valid,NR-AhR,619,87,0.1405
valid,NR-Aromatase,509,45,0.0884
valid,NR-ER,554,75,0.1354
valid,NR-ER-LBD,664,29,0.0437
valid,NR-PPAR-gamma,576,32,0.0556
valid,SR-ARE,473,106,0.2241
valid,SR-ATAD5,664,35,0.0527
valid,SR-HSE,574,44,0.0767
valid,SR-MMP,508,111,0.2185
valid,SR-p53,648,75,0.1157
test,NR-AR,715,27,0.0378
test,NR-AR-LBD,624,19,0.0304
test,NR-AhR,629,92,0.1463
test,NR-Aromatase,523,47,0.0899
test,NR-ER,554,70,0.1264
test,NR-ER-LBD,653,21,0.0322
test,NR-PPAR-gamma,575,22,0.0383
test,SR-ARE,481,118,0.2453
test,SR-ATAD5,672,33,0.0491
test,SR-HSE,572,47,0.0822
test,SR-MMP,520,96,0.1846
test,SR-p53,630,72,0.1143
